title,author,abstract,keywords,source_file
Contamination status and safety assessment of heavy metals in rice consumed in Songjiang district,"SHI Chun-Hong*, CAO Mei-Ping, HU Gui-Xia
( Shanghai Songjiang Institute for Food and Drug Control , Shanghai 201600, China )","Objective To understand pollution levels and ingestion risks of Pb, Cd, inorganic As and Hg in rice consumed in Songjiang district, and then to master the quality and safety of rice in the region. Methods Total of 344 samples in Songjiang district were collected and the content of Pb, Cd, inorganic As and Hg was determined. The pollution  of  heavy  metals  in  rice  was  evaluated  by  single  factor  pollution  index  and  Nemerow  comprehensive pollution index, and the dietary risk was preliminarily assessed by tolerable intake. Results The content of Pb, Cd, inorganic As and Hg in rice met the national food safety standards, and the average content was 0.054, 0.032, 0.019 and  0.0023  mg/kg,  respectively.  In  344  samples,  97%  of  the  single  factor  pollution  index  was  less  than  0.6,  and 99.4%  of  the  samples  were  comprehensively  evaluated  as  safe  and  clean,  without  slight  pollution  or  above.  The amount  of  Pb,  Cd,  inorganic  As  and  Hg  ingested  from  rice  is  much  lower  than  the  tolerable  intake,  but  the contribution rate of inorganic As  and  Cd  to  the dietary risk at high exposure  level is more  than  10%. Conclusion The pollution situation of heavy metals in rice consumed in Songjiang district is optimistic, and the risk to human health is at a lower level. In general, the safety situation of heavy metals can be controlled.",rice; heavy metals; pollution; safety assessment,松江区消费环节大米重金属污染状况及安全评价_石春红.md
不同设备和工艺加工薏仁谷精米和碎米重金属污染评价,涂鸿+；秦礼康+；韦柳燕+；梁艺馨-,分别采集不同设备和工艺加工生产线所加工的薏仁谷精米和碎米，检测A生产线和B生产线所产精米出现了7$和8=含量，含量均在需要警戒范围，A生产线所产精米还出现了8=膳食暴露风险，B生产线所产精米和碎米的重金属污染及膳食暴露风险更小,薏仁谷;精米;碎米;重金属;膳食暴露风险,不同设备和工艺加工薏仁谷精米和碎米重金属污染评价_涂鸿.md
Contamination status and safety assessment of heavy metals in rice consumed in Songjiang district,"SHI Chun-Hong *, CAO Mei-Ping, HU Gui-Xia
( Shanghai Songjiang Institute for Food and Drug Control , Shanghai 201600, China )","Objective To understand pollution levels and ingestion risks of Pb, Cd, inorganic As and Hg in rice consumed in Songjiang district, and then to master the quality and safety of rice in the region. Methods Total of 344 samples in Songjiang district were collected and the content of Pb, Cd, inorganic As and Hg was determined. The pollution  of  heavy  metals  in  rice  was  evaluated  by  single  factor  pollution  index  and  Nemerow  comprehensive pollution index, and the dietary risk was preliminarily assessed by tolerable intake. Results The content of Pb, Cd, inorganic As and Hg in rice met the national food safety standards, and the average content was 0.054, 0.032, 0.019 and  0.0023  mg/kg,  respectively.  In  344  samples,  97%  of  the  single  factor  pollution  index  was  less  than  0.6,  and 99.4%  of  the  samples  were  comprehensively  evaluated  as  safe  and  clean,  without  slight  pollution  or  above.  The amount  of  Pb,  Cd,  inorganic  As  and  Hg  ingested  from  rice  is  much  lower  than  the  tolerable  intake,  but  the contribution rate of inorganic As  and  Cd  to  the dietary risk at high exposure  level is more  than  10%. Conclusion The pollution situation of heavy metals in rice consumed in Songjiang district is optimistic, and the risk to human health is at a lower level. In general, the safety situation of heavy metals can be controlled.",rice; heavy metals; pollution; safety assessment,test_松江区消费环节大米重金属污染状况及安全评价_石春红.md
Dietary intake of minerals and trace elements in rice on the Jamaican market,"Johann M.R. Antoine, Leslie A. Hoo Fung*, Charles N. Grant, Haile T. Dennis, Gerald C. Lalor
International Centre for Environmental and Nuclear Sciences, 2 Anguilla Close, University of the West Indies, Mona Campus, Kingston 7, Jamaica","Twenty-five rice brands, available on the Jamaican market, and a local field trial sample were collected and analyzed for 36 essential, non-essential and toxic elements using four techniques: flame atomic absorption spectrophotometry (F-AAS), inductively coupled plasma optical emission spectrometry (ICP-OES), instrumental neutron activation analysis (INAA), and total reflection X-ray fluorescence (TXRF). The mean values for both white and brown rice respectively for calcium (127 mg/kg; 104 mg/kg), chromium (0.08 mg/kg; 0.157 mg/kg), copper (1.65 mg/kg; 2.96 mg/kg), iron (22.3 mg/kg; 20.1 mg/kg), magnesium (371 mg/kg; 1205 mg/kg), manganese (10.5 mg/kg; 26.5 mg/kg), molybdenum (0.790 mg/ kg; 0.770 mg/kg), phosphorus (1203 mg/kg; 3361 mg/kg), potassium (913 mg/kg; 2157 mg/kg), selenium (0.108 mg/kg; 0.131 mg/kg), sodium (6.00 mg/kg; 15.1 mg/kg), sulfur (1131 mg/kg; 1291 mg/kg) and zinc (15.6 mg/kg; 20.2 mg/kg) were used to calculate intake values. The percentage contribution to Provisional Tolerable Weekly Intakes were also estimated for the toxic elements aluminum (6.6-17.9%), arsenic (7.8-10.2%), cadmium (5.1-9.0%) and mercury (3.2-12.0%) with ranges dependent on white or brown rice consumption and gender. It was concluded that, for most essential elements, rice does not significantly contribute to mineral nutrition. The local field trial sample yielded encouraging results in terms of uptake of toxic elements.",Rice;Trace elements;Dietary intake;Food composition;Food analysis;Jamaica;Mineral nutrition;Food safety;AAS;ICP-OES;INAA;TXRF,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md
Characterization of mercury species in brown and white rice (Oryza sativa L.) grown in water-saving paddies,"Sarah E. Rothenberg a, * , Xinbin Feng a, * , Bin Dong b , Lihai Shang a , Runsheng Yin a , Xiaobo Yuan c a State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, 46 Guanshui Lu, Guiyang 550002, PR China

- b State Key Laboratory of Water Resources and Hydropower Engineering Science, Wuhan University, Wuhan 430072, PR China

c College of Resources and the Environment, Southwest University, Chongqing 400716, PR China","In China, total Hg (HgT) and methylmercury (MeHg) were quantified in rice grain grown in three sites using water-saving rice cultivation methods, and in one Hg-contaminated site, where rice was grown under flooded conditions. Polished white rice concentrations of HgT (water-saving: 3.3 ± 1.6 ng/g; flooded: 110 ± 9.2 ng/g) and MeHg (water-saving 1.3 ± 0.56 ng/g; flooded: 12 ± 2.4 ng/g) were positively correlated with root-soil HgT and MeHg contents (HgT: r2 ¼ 0.97, MeHg: r2 ¼ 0.87, p < 0.05 for both), which suggested a portion of Hg species in rice grain was derived from the soil, and translocation of Hg species from soil to rice grain was independent of irrigation practices and Hg levels, although other factors may be important. Concentrations of HgT and other trace elements were significantly higher in unmilled brown rice (p < 0.05), while MeHg content was similar (p > 0.20), indicating MeHg infiltrated the endosperm (i.e., white rice) more efficiently than inorganic Hg(II).
© 2011 Elsevier Ltd. All rights reserved.",Methylmercury;Milled white rice;Translocation;Water-saving paddies,doc_02_Characterization of mercury species in brown and white rice.md
Rice consumption contributes to low level methylmercury exposure in southern China,"Ping Li a , Xinbin Feng a, ⁎ , Xiaobo Yuan a , Hing Man Chan b , Guangle Qiu a , Guo-Xin Sun c , Yong-Guan Zhu c,d
- a State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang, 550002, China
- b Centre for Advanced Research in Environmental Genomics, University of Ottawa, Ottawa, K1N 6N5, Canada
- c Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing, 100085, China
- d Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, 361021, China","Fish consumption is considered as the primary pathway of human methylmercury (MeHg) exposure. However, recent studies highlighted that, rice, rather than /uniFB01 sh, is the main route of human MeHg exposure in Guizhou, inland China. China is considered as the largest anthropogenic source of mercury (Hg) emission in the world, which has led to serious environmental Hg pollution. But there are no comprehensive studies regarding this environmental health problem to evaluate human Hg exposure and associated health effects. This study aimed to estimate daily MeHg intake and health risk in 7 provinces in southern China, and to assess the relative contribution from rice and /uniFB01 sh consumption. The average levels of total mercury (THg) and MeHg in rice samples were generally low at 10.1 ng·g -1 and 2.47 ng·g -1 , respectively. But a total of 36 rice samples (12.7%) had THg concentration exceeding the national limit (20 ng·g -1 ). Generally, rural population had signi /uniFB01 cantly higher Probable Daily Intakes (PDIs) of MeHg than urban population from rice consumption and its relative contribution to MeHg exposure increased signi /uniFB01 cantly from coastal to inland area. The averages of PDIs of MeHg were 0.020 μ g·kg -1 ·d -1 and 0.028 μ g·kg -1 ·d -1 for urban and rural population in southern China, respectively. Despite the serious environmental Hg pollutions in China, the general population in southern China had low risk of MeHg exposure. But rice is an important route of human MeHg exposure in southern China, especially for the rural population in inland area. The /uniFB01 ndings indicate that rice consumption should be considered when evaluating MeHg exposure in rice eating population in southern China.",Rice;Total mercury;Methylmercury;Probable daily intake;Contribution;Southern China,doc_03_Rice consumption contributes to low level methylmercury exposure in southern China.md
Contamination status and safety assessment of heavy metals in rice consumed in Songjiang district,"SHI Chun-Hong*, CAO Mei-Ping, HU Gui-Xia
( Shanghai Songjiang Institute for Food and Drug Control , Shanghai 201600, China )","Objective To understand pollution levels and ingestion risks of Pb, Cd, inorganic As and Hg in rice consumed in Songjiang district, and then to master the quality and safety of rice in the region. Methods Total of 344 samples in Songjiang district were collected and the content of Pb, Cd, inorganic As and Hg was determined. The pollution  of  heavy  metals  in  rice  was  evaluated  by  single  factor  pollution  index  and  Nemerow  comprehensive pollution index, and the dietary risk was preliminarily assessed by tolerable intake. Results The content of Pb, Cd, inorganic As and Hg in rice met the national food safety standards, and the average content was 0.054, 0.032, 0.019 and  0.0023  mg/kg,  respectively.  In  344  samples,  97%  of  the  single  factor  pollution  index  was  less  than  0.6,  and 99.4%  of  the  samples  were  comprehensively  evaluated  as  safe  and  clean,  without  slight  pollution  or  above.  The amount  of  Pb,  Cd,  inorganic  As  and  Hg  ingested  from  rice  is  much  lower  than  the  tolerable  intake,  but  the contribution rate of inorganic As  and  Cd  to  the dietary risk at high exposure  level is more  than  10%. Conclusion The pollution situation of heavy metals in rice consumed in Songjiang district is optimistic, and the risk to human health is at a lower level. In general, the safety situation of heavy metals can be controlled.",rice; heavy metals; pollution; safety assessment,doc_04_松江区消费环节大米重金属污染状况及安全评价_石春红.md
不同设备和工艺加工薏仁谷精米和碎米重金属污染评价,"涂鸿+, 秦礼康+, 韦柳燕+, 梁艺馨-",分别采集不同设备和工艺加工生产线所加工的薏仁谷精米和碎米，检测A生产线和B生产线所产精米出现了7$…含量均在需警戒范围，A生产线所产精米还出现了8=…膳食暴露风险，B生产线所产精米和碎米的重金属污染及膳食暴露风险更小。,薏仁谷;精米;碎米;重金属;膳食暴露风险,doc_05_不同设备和工艺加工薏仁谷精米和碎米重金属污染评价_涂鸿.md
Heavy Metal Pollution in a Soil-Rice System in the Yangtze River Region of China,"Zhouping Liu, Qiaofen Zhang, Tiqian Han, Yanfei Ding, Junwei Sun, Feijuan Wang and Cheng Zhu
College of Life Sciences, China Jiliang University, Hangzhou 310018, China; jslzp89@163.com (Z.L.); zhangqf025@163.com (Q.Z.); hantq96@163.com (T.H.); dingyanfei1984@126.com (Y.D.); Juville@cjlu.edu.cn (J.S.)","Heavy metals are regarded as toxic trace elements in the environment. Heavy metal pollution in soil or rice grains is of increasing concern. In this study, 101 pairs of soil and rice samples were collected from the major rice-producing areas along the Yangtze River in China. The soil properties and heavy metal ( i.e. , Cd, Hg, Pb and Cr) concentrations in the soil and rice grains were analyzed to evaluate the heavy metal accumulation characteristics of the soil-rice systems. The results showed that the Cd, Hg, Pb and Cr concentrations in the soil ranged from 0.10 to 4.64, 0.01 to 1.46, 7.64 to 127.56, and 13.52 to 231.02 mg ☎ kg ✁ 1 , respectively. Approximately 37%, 16%, 60% and 70% of the rice grain samples were polluted by Cd, Hg, Pb, and Cr, respectively. The degree of heavy metal contamination in the soil-rice systems exhibited a regional variation. The interactions among the heavy metal elements may also influence the migration and accumulation of heavy metals in soil or paddy rice. The accumulation of heavy metals in soil and rice grains is related to a certain extent to the pH and soil organic matter (SOM). This study provides useful information regarding heavy metal accumulation in soil to support the safe production of rice in China. The findings from this study also provide a robust scientific basis for risk assessments regarding ecological protection and food safety.",soil-rice system; pollution characteristics; heavy metal accumulation; Yangtze River region,doc_06_Heavy Metal pullution in China.md
Application of biochar and selenium together at low dose efficiently reduces mercury and methylmercury accumulation in rice grains,"Feng Jing a,c , Hongbo Li c , Jianzhou He d,e , Qingya Zhang b , Xuezhen Gao b , Dongmei Zhou c,* 
- a College of Advanced Agricultural Sciences, Zhejiang A & F University, Hangzhou 311300, PR China
- b Jiangsu DDBS Environmental Remediation Co., LTD, Nanjing 210012, PR China
- c State Key Laboratory of Pollution Control and Resource Reuse, School of the Environment, Nanjing University, Nanjing 210023, PR China
- d School of Fisheries, Aquaculture and Aquatic Sciences, Auburn University, Auburn, AL 36849, USA
- e Department of Biochemistry, Chemistry & Physics, Georgia Southern University, Savannah, GA 31419, USA","Irrespective of cost and ecological risk, literatures have reported that both biochar and selenium (Se) alone at high application rate exhibited positive effects on decreasing rice mercury (Hg) uptake in high Hg contaminated paddy soil. In this study, we investigated whether biochar and Se together at low dose could efficiently reduce the rice grain Hg and MeHg accumulation in the slight Hg-contaminated soil. Compared with control (CK), the Hg concentration of grains in the BC3, Se0.5, and BC3 + Se0.5 treatments decreased by 5.4 %, 38.3 %, and 48.5 %, respectively. Co-application of biochar and Se also decreased the methylmercury (MeHg) concentration in rice grains by 29.1 -91.6 %. The decrease of Hg and MeHg level in rice grains for biochar and Se treatments could be attributed to the following mechanisms: (1) high Hg (primarily inorganic Hg) adsorption on biochar through its high hydroxyl groups and large specific surface area; (2) Increased dissolved organic carbon and cysteine contents in pore water after biochar application, which reduced the availability of soil Hg through complexation; (3) Decreased bioavailability of Hg in soil due to the formation of HgSe precipitation which inhi",Biochar; Selenium; Hg; MeHg; Paddy soil,doc_07_Application of biochar and selenium together at low dose efficiently.md
