chunk_id,document_id,filename,title,doi,section,section_role,chunk_index,text_length,n_documents_linked,n_entities_linked,mp_subgraphs
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10045,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Methods_Materials,Methods_Materials,0,4000,1,2,EEM
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10182,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Methods_Materials,Methods_Materials,0,3997,21,86,MPU|EEM
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8867,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Results,Results,0,4000,6,36,MPU
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9012,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Methods_Materials,Methods_Materials,0,4000,44,190,MPU|EBM|EEM
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9208,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Introduction,Introduction,0,3627,1,7,MPU
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9217,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Results,Results,0,3997,1,7,MPU
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9694,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Abstract,Abstract,0,4000,1,2,EEM
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9888,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Methods_Materials,Methods_Materials,0,3991,2,8,EEM
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10046,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Introduction,Introduction,1,4000,1,2,EEM
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10183,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market.md,Dietary intake of minerals and trace elements in rice on the Jamaican market,10.1016/j.jfca.2012.01.003,Introduction,Introduction,1,3998,21,62,MPU
