chunk_id,document_id,chunk_index,section,EBM_num,EEM_num,MPU_num,triple_total,unassigned
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10045,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Methods_Materials,0,1,0,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10182,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Methods_Materials,0,9,21,22,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8867,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Results,0,0,11,11,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9012,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Methods_Materials,91,91,3,108,1
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9208,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Introduction,0,0,5,5,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9217,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Results,0,0,4,4,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9694,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Abstract,0,1,0,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9888,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,0,Methods_Materials,4,4,0,4,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10046,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,1,Introduction,0,1,0,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10183,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,1,Introduction,0,6,14,14,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8868,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,1,Results,0,0,6,6,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9013,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,1,Methods_Materials,39,51,2,56,1
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9218,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,1,Results,0,0,8,8,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9695,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,1,Introduction,0,1,0,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9889,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,1,Methods_Materials,1,1,0,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10047,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,2,Methods_Materials,0,1,0,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10184,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,2,Methods_Materials,0,5,14,14,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8869,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,2,Discussion,0,0,9,9,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9014,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,2,Other,23,32,0,32,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9219,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,2,Discussion,0,0,3,3,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9890,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,2,Other,4,4,0,4,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10048,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,3,Methods_Materials,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10185,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,3,Methods_Materials,0,16,26,26,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8870,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,3,Discussion,0,0,12,12,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9015,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,3,Discussion,0,0,2,2,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9220,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,3,Discussion,0,0,4,4,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9412,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,3,Other,0,2,0,2,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9891,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,3,Results,2,2,0,2,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10049,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,4,Other,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10186,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,4,Results,0,7,13,14,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8871,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,4,Other,0,0,1,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9016,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,4,Discussion,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9221,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,4,Discussion,0,0,1,1,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9892,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,4,Results,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10187,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,5,Results,0,2,28,29,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8872,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,5,Discussion,0,0,23,23,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9017,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,5,Other,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9222,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,5,Other,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9893,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,5,Results,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10188,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,6,Discussion,3,4,15,18,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8873,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,6,Discussion,0,0,17,17,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9018,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,6,Discussion,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9223,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,6,Discussion,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9894,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,6,Results,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:10189,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,7,Discussion,5,5,6,11,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:8874,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,7,Discussion,0,0,9,9,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9019,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,7,Discussion,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9224,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,7,Discussion,0,0,0,0,0
4:a588b8f8-4a1b-4a79-8a1a-924958fc2820:9895,doc_01_Dietary intake of minerals and trace elements in rice on the Jamaican market,7,Other,0,0,0,0,0
